SG_PARTIDO,SG_PARTIDO_INFO,MEDIA_IDEOL,NOME,NR_PARTIDO,POSIC_IDEOLOGICO,SG_POSIC_IDEOLOGICO,Observação,Fonte espectro
PSTU,PSTU,"0,51",PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,16,EXTREMA_ESQUERDA,EE,,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
PCO,PCO,"0,61",PARTIDO DA CAUSA OPERÁRIA,29,EXTREMA_ESQUERDA,EE,,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
UP,UP,"0,76",UNIDADE POPULAR,80,EXTREMA_ESQUERDA,EE,"Como não havia sido fundado e é de extrema esquerda eu fiz a média dos partido PSTU, PCO, PCB e PSOL.","BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
PCB,PCB,"0,91",PARTIDO COMUNISTA BRASILEIRO,21,EXTREMA_ESQUERDA,EE,,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
PSOL,PSOL,"1,28",PARTIDO SOCIALISMO E LIBERDADE,50,EXTREMA_ESQUERDA,EE,,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
PCdoB,PCdoB,"1,92",PARTIDO COMUNISTA DO BRASIL,65,ESQUERDA,E,,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
PT,PT,"2,97",PARTIDO DOS TRABALHADORES,13,CENTRO_ESQUERDA,CE,,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
PDT,PDT,"3,92",PARTIDO DEMOCRÁTICO TRABALHISTA,12,CENTRO_ESQUERDA,CE,,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
PSB,PSB,"4,05",PARTIDO SOCIALISTA BRASILEIRO,40,CENTRO_ESQUERDA,CE,,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
REDE,REDE,"4,77",REDE SUSTENTABILIDADE,18,CENTRO_DIREITA,C,,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
